loan_id,P1,P2,P3,P4,P4b,P5,amt,amt_stated,freq,n_src,ev,batch,n_inst,n_obs,on_time_rate,early_rate,late_rate,mean_delay,exposure,max_delay,first_delinq_k,first_delinq_frac,return_to_current_k,re_delinq_k,ever_delinq,n_unpaid,year,status,outcome,plan_len,purpose_len,amount,duration,rate,gender,age,job,income,expend,disposable,past_ordinary,past_early,past_late,past_overdue,past_loss,in_sample,inc17,exp17,disp17,capacity,amt_won,dur_m,req_pay,req_avg,pcg_abs,pcg_ratio,pcg_over,pcg_abs_avg,suffix,lnlen,bgroup,anchor,auto,day,multi,P3b,inc_anchor,cal_anchor,evt_anchor,auto_f,lnamt,past_ordinary_f,past_late_f,past_overdue_f,past_loss_f,past_m,male,P3v3,P4v3,anchor_v3,day_v3,multi_v3,batch_v3,v2b,v3b,income_doc,pay_sched_rx,S2,S3,salday
B081223-1,5,5,5,1,0,3,130000.0,1,월,2,본인급여+아내 취업예정,1,12,12,0.25,0.1667,0.75,8.0,96,27,1.0,0.083,5.0,8.0,1,0,2008,정상종료,완납,405,2094,100만원,12개월,0.3,남자,세,기타,,,,4.0,2.0,16.0,2.0,0.0,1,,,,,1000000.0,12.0,108333.33333333331,96875.0,,,,,1,6.003887067106539,B081223-1,income,False,,False,0,1,0,0,0,13.815510557964274,4.0,16.0,2.0,0.0,0,1,3,1,,,,1,1,0,1,0,0.0,0.0,
B081230-1,5,4,3,2,1,4,100000.0,1,월,1,남편 현재월급 160만,1,6,6,0.1667,0.1667,0.8333,20.167,121,61,2.0,0.333,,,1,0,2008,연체중,손실,272,781,100만원,9개월,0.3,여자,세,기타,,,,2.0,1.0,6.0,2.0,0.0,1,,,,,1000000.0,9.0,136111.11111111112,125000.0,,,,,1,5.605802066295998,B090106-3,,,,,0,0,0,0,0,13.815510557964274,2.0,6.0,2.0,0.0,0,0,1,2,,,,1,0,0,0,0,0.0,0.0,
B090104-1,2,4,2,1,0,4,,0,,1,현재 고정급 140만원,1,8,8,1.0,1.0,0.0,0.0,0,0,,,,,0,0,2009,정상종료,완납,576,360,100만원,9개월,0.3,남자,세,기타,,,,62.0,61.0,4.0,0.0,0.0,1,,,,,1000000.0,9.0,136111.11111111112,125000.0,,,,,1,6.356107660695892,B081208-5,,,,,0,0,0,0,0,13.815510557964274,62.0,4.0,0.0,0.0,0,1,1,1,,,,1,0,0,0,0,0.0,0.0,
B090117-1,2,4,1,1,0,4,,0,,1,외주업체 재직 100만원,1,12,12,0.5833,0.1667,0.4167,0.917,11,3,1.0,0.083,2.0,6.0,1,0,2009,정상종료,완납,215,324,200만원,12개월,0.3,여자,세,기타,,,,,,,,,1,,,,,2000000.0,12.0,216666.66666666663,193750.0,,,,,1,5.3706380281276624,B090117-1,,,,,0,0,0,0,0,14.50865773852422,0.0,0.0,0.0,0.0,1,0,1,1,,,,1,0,0,0,0,0.4651162790697674,0.0,
B090124-1,1,4,1,1,0,5,,0,,2,현재 월급150만,1,5,5,0.2,0.0,0.8,30.2,151,61,2.0,0.4,,,1,0,2009,연체중,손실,141,784,100만원,12개월,0.3,여자,세,기타,,,,,,,,,1,,,,,1000000.0,12.0,108333.33333333331,96875.0,,,,,1,4.948759890378168,B090124-1,,,,,0,0,0,0,0,13.815510557964274,0.0,0.0,0.0,0.0,1,0,1,1,,,,1,0,0,0,0,0.0,0.0,
B090127-1,2,4,3,2,1,4,,0,,2,1년치 물량 수주 상태,1,5,5,0.0,0.0,1.0,24.0,120,61,1.0,0.2,,,1,0,2009,손실(상환완료),손실,436,517,100만원,12개월,0.3,남자,세,기타,,,,2.0,1.0,5.0,2.0,0.0,1,,,,,1000000.0,12.0,108333.33333333331,96875.0,,,,,1,6.077642243349034,B090119-18,,,,,0,0,0,0,0,13.815510557964274,2.0,5.0,2.0,0.0,0,1,1,1,,,,1,0,0,0,0,0.0,0.0,
B090128-1,3,5,3,4,1,4,,0,월,2,현급여+장모님 30만,1,7,7,0.4286,0.4286,0.5714,10.429,73,61,4.0,0.571,,,1,0,2009,연체중,손실,264,700,100만원,12개월,0.3,남자,세,기타,,,,13.0,13.0,9.0,1.0,0.0,1,,,,,1000000.0,12.0,108333.33333333331,96875.0,,,,,1,5.575949103146316,B090117-5,,,,,0,0,0,0,0,13.815510557964274,13.0,9.0,1.0,0.0,0,1,1,2,,,,1,0,0,0,0,0.0,0.0,
B090201-1,2,4,1,1,0,4,,0,,1,압류후 최소급여 150만,1,5,5,0.0,0.0,1.0,11.6,58,35,1.0,0.2,,,1,0,2009,정상종료,완납,198,1633,100만원,9개월,0.3,남자,세,기타,,,,,,,,,1,,,,,1000000.0,9.0,136111.11111111112,125000.0,,,,,1,5.288267030694535,B090201-1,,,,,0,0,0,0,0,13.815510557964274,0.0,0.0,0.0,0.0,1,1,1,1,,,,1,0,0,0,0,0.0,0.0,
B090214-1,2,4,4,1,0,4,,0,,1,급여+당직수당 현재수령,1,3,3,1.0,0.6667,0.0,0.0,0,0,,,,,0,0,2009,정상종료,완납,255,1416,100만원,12개월,0.3,남자,세,기타,,,,48.0,36.0,0.0,0.0,0.0,1,,,,,1000000.0,12.0,108333.33333333331,96875.0,,,,,1,5.541263545158426,A080423-3,calendar,False,25.0,False,0,0,1,0,0,13.815510557964274,48.0,0.0,0.0,0.0,0,1,1,1,,,,1,1,0,1,0,0.0,0.0,
B090217-1,3,5,5,1,0,4,,0,월,3,현직 급여226만+성과금,1,12,12,0.6667,0.4167,0.3333,0.583,7,3,3.0,0.25,5.0,7.0,1,0,2009,정상종료,완납,240,395,200만원,12개월,0.3,남자,세,기타,,,,22.0,9.0,5.0,0.0,0.0,1,,,,,2000000.0,12.0,216666.66666666663,193750.0,,,,,1,5.480638923341991,B100406-1,income,False,,False,1,1,0,0,0,14.50865773852422,22.0,5.0,0.0,0.0,0,1,4,1,income,,False,1,1,1,0,0,0.0,4.166666666666667,
