loan_id,P3v3,P4v3,anchor_v3,day_v3,multi_v3,batch_v3
B081223-1,3,1,,,,1
B081230-1,1,2,,,,1
B090104-1,1,1,,,,1
B090117-1,1,1,,,,1
B090124-1,1,1,,,,1
B090127-1,1,1,,,,1
B090128-1,1,2,,,,1
B090201-1,1,1,,,,1
B090214-1,1,1,,,,1
B090217-1,4,1,income,,False,1
B090222-1,1,1,,,,1
B090302-1,1,1,,,,1
B090311-1,1,2,,,,1
B090331-1,1,5,,,,1
B090404-1,1,1,,,,1
B090412-1,1,5,,,,1
B090417-1,1,5,,,,1
B090424-1,2,2,,,,1
B090702-1,1,1,,,,1
B090703-1,1,2,,,,1
B090723-1,4,1,income,25.0,False,1
B090828-1,1,1,,,,1
B090901-1,4,1,event,,False,1
B090916-1,2,1,,,,1
B091005-1,1,1,,,,1
B091024-1,1,1,,,,1
B091026-1,3,1,,,,1
B091104-1,3,1,,,,1
B091113-1,1,1,,,,1
B091116-1,1,1,,,,1
B091214-1,4,1,income,,False,1
B091219-1,1,1,,,,1
B091223-1,4,1,calendar,12.0,False,1
B091226-1,1,2,,,,1
B100129-1,1,4,,,,1
B100303-1,1,1,,,,1
B100304-1,2,1,,,,1
B100306-1,1,1,,,,1
B100311-1,3,4,,,,1
B100322-1,1,1,,,,1
B100401-1,1,1,,,,1
B100406-1,2,2,,,,1
B100428-1,1,1,,,,1
B100501-1,1,1,,,,1
B100502-1,1,1,,,,1
B100508-1,1,1,,,,1
B100608-1,1,1,,,,1
B100707-1,1,1,,,,1
B100713-1,3,1,,,,1
B100716-1,3,1,,,,1
B100721-1,1,1,,,,1
B100726-1,1,1,,,,1
B100728-1,1,1,,,,1
B100817-1,1,1,,,,1
B100826-1,1,1,,,,1
B100923-1,2,1,,,,1
B100928-1,1,1,,,,1
B100930-1,1,1,,,,1
B101007-1,1,1,,,,1
B101008-1,1,1,,,,1
B101013-1,2,2,,,,1
B101028-1,1,1,,,,1
B101031-1,1,1,,,,1
B101102-1,1,1,,,,1
B101103-1,4,1,calendar,,False,1
B101105-1,1,1,,,,1
B101106-1,4,1,event,,False,1
B101122-1,3,1,,,,1
B101220-1,3,2,,,,1
B081209-2,1,2,,,,1
B081210-2,1,1,,,,2
B090103-2,1,1,,,,2
B090209-2,3,1,,,,2
B090212-2,1,1,,,,2
B090214-2,1,1,,,,2
B090227-2,1,1,,,,2
B090315-2,1,1,,,,2
B090401-2,1,1,,,,2
B090416-2,4,4,calendar,,False,2
B090420-2,1,5,,,,2
B090423-2,2,1,,,,2
B090507-2,1,4,,,,2
B090514-2,1,1,,,,2
B090516-2,1,1,,,,2
B090702-2,1,1,,,,2
