loan_id,n_inst,n_obs,on_time_rate,early_rate,late_rate,mean_delay,exposure,max_delay,first_delinq_k,first_delinq_frac,return_to_current_k,re_delinq_k,ever_delinq,n_unpaid,year,status,outcome,plan_len,purpose_len,amount,duration,rate,gender,age,job,income,expend,disposable,past_ordinary,past_early,past_late,past_overdue,past_loss,in_sample,inc17,exp17,disp17,capacity,amt_won,dur_m,req_pay,req_avg,pcg_abs,pcg_ratio,pcg_over,pcg_abs_avg
B081223-1,12,12,0.25,0.1667,0.75,8.0,96,27,1.0,0.083,5.0,8.0,1,0,2008,정상종료,완납,405,2094,100만원,12개월,0.3,남자,세,기타,,,,4.0,2.0,16.0,2.0,0.0,1,,,,,1000000.0,12.0,108333.33333333331,96875.0,,,,
B081230-1,6,6,0.1667,0.1667,0.8333,20.167,121,61,2.0,0.333,,,1,0,2008,연체중,손실,272,781,100만원,9개월,0.3,여자,세,기타,,,,2.0,1.0,6.0,2.0,0.0,1,,,,,1000000.0,9.0,136111.11111111112,125000.0,,,,
B090104-1,8,8,1.0,1.0,0.0,0.0,0,0,,,,,0,0,2009,정상종료,완납,576,360,100만원,9개월,0.3,남자,세,기타,,,,62.0,61.0,4.0,0.0,0.0,1,,,,,1000000.0,9.0,136111.11111111112,125000.0,,,,
B090117-1,12,12,0.5833,0.1667,0.4167,0.917,11,3,1.0,0.083,2.0,6.0,1,0,2009,정상종료,완납,215,324,200만원,12개월,0.3,여자,세,기타,,,,,,,,,1,,,,,2000000.0,12.0,216666.66666666663,193750.0,,,,
B090124-1,5,5,0.2,0.0,0.8,30.2,151,61,2.0,0.4,,,1,0,2009,연체중,손실,141,784,100만원,12개월,0.3,여자,세,기타,,,,,,,,,1,,,,,1000000.0,12.0,108333.33333333331,96875.0,,,,
B090127-1,5,5,0.0,0.0,1.0,24.0,120,61,1.0,0.2,,,1,0,2009,손실(상환완료),손실,436,517,100만원,12개월,0.3,남자,세,기타,,,,2.0,1.0,5.0,2.0,0.0,1,,,,,1000000.0,12.0,108333.33333333331,96875.0,,,,
B090128-1,7,7,0.4286,0.4286,0.5714,10.429,73,61,4.0,0.571,,,1,0,2009,연체중,손실,264,700,100만원,12개월,0.3,남자,세,기타,,,,13.0,13.0,9.0,1.0,0.0,1,,,,,1000000.0,12.0,108333.33333333331,96875.0,,,,
B090201-1,5,5,0.0,0.0,1.0,11.6,58,35,1.0,0.2,,,1,0,2009,정상종료,완납,198,1633,100만원,9개월,0.3,남자,세,기타,,,,,,,,,1,,,,,1000000.0,9.0,136111.11111111112,125000.0,,,,
B090214-1,3,3,1.0,0.6667,0.0,0.0,0,0,,,,,0,0,2009,정상종료,완납,255,1416,100만원,12개월,0.3,남자,세,기타,,,,48.0,36.0,0.0,0.0,0.0,1,,,,,1000000.0,12.0,108333.33333333331,96875.0,,,,
B090217-1,12,12,0.6667,0.4167,0.3333,0.583,7,3,3.0,0.25,5.0,7.0,1,0,2009,정상종료,완납,240,395,200만원,12개월,0.3,남자,세,기타,,,,22.0,9.0,5.0,0.0,0.0,1,,,,,2000000.0,12.0,216666.66666666663,193750.0,,,,
