loan_id,k,sched_date,actual_date,status,delay,gap,ontime,early,late,unpaid,sched_prin,sched_int,paid_prin,paid_int,balance
B081223-1,1,2009-02-08,2009-02-16,일반상환,8,8.0,0.0,0.0,1.0,0,83336,19375,83336,20010,916664
B081223-1,2,2009-03-08,2009-03-09,일반상환,1,1.0,0.0,0.0,1.0,0,83336,17763,83336,17843,833328
B081223-1,3,2009-04-08,2009-04-20,일반상환,12,12.0,0.0,0.0,1.0,0,83336,16144,83336,17059,749992
B081223-1,4,2009-05-08,2009-05-26,일반상환,18,18.0,0.0,0.0,1.0,0,83336,14527,83336,15880,666656
B081223-1,5,2009-06-08,2009-06-08,일반상환,0,0.0,1.0,0.0,0.0,0,83336,12918,83336,12918,583320
B081223-1,6,2009-07-08,2009-07-07,일반상환,0,-1.0,1.0,1.0,0.0,0,83336,11301,83336,11301,499984
B081223-1,7,2009-08-08,2009-07-28,일반상환,0,-11.0,1.0,1.0,0.0,0,83336,9685,83336,9685,416648
B081223-1,8,2009-09-08,2009-09-23,일반상환,15,15.0,0.0,0.0,1.0,0,83336,8076,83336,9128,333312
B081223-1,9,2009-10-08,2009-11-04,일반상환,27,27.0,0.0,0.0,1.0,0,83336,6459,83336,8316,249976
B081223-1,10,2009-11-08,2009-11-10,일반상환,2,2.0,0.0,0.0,1.0,0,83336,4842,83336,4976,166640
B081223-1,11,2009-12-08,2009-12-09,일반상환,1,1.0,0.0,0.0,1.0,0,83336,3230,83336,3293,83304
B081223-1,12,2010-01-08,2010-01-20,일반상환,12,12.0,0.0,0.0,1.0,0,83304,1616,83304,2394,0
B081230-1,1,2009-02-06,2009-02-01,일반상환,0,-5.0,1.0,1.0,0.0,0,111108,22194,111108,22194,888892
B081230-1,2,2009-03-06,2009-03-20,일반상환,14,14.0,0.0,0.0,1.0,0,111108,19723,111108,21331,777784
B081230-1,3,2009-04-06,2009-04-25,일반상환,19,19.0,0.0,0.0,1.0,0,111108,17260,111108,19403,666676
B081230-1,4,2009-05-06,2009-05-07,일반상환,1,1.0,0.0,0.0,1.0,0,111108,14796,111108,14906,555568
B081230-1,5,2009-06-06,2009-07-02,일반상환,26,26.0,0.0,0.0,1.0,0,111108,12332,111108,15148,444460
B081230-1,6,2009-07-06,2009-09-05,손실,61,61.0,0.0,0.0,1.0,0,444460,17259,0,0,0
B090104-1,1,2009-02-07,2009-01-21,일반상환,0,-17.0,1.0,1.0,0.0,0,111109,22358,111109,22358,888891
B090104-1,2,2009-03-07,2009-02-20,일반상환,0,-15.0,1.0,1.0,0.0,0,111109,19872,111109,19872,777782
B090104-1,3,2009-04-07,2009-03-20,일반상환,0,-18.0,1.0,1.0,0.0,0,111109,17388,111109,17388,666673
B090104-1,4,2009-05-07,2009-04-20,일반상환,0,-17.0,1.0,1.0,0.0,0,111109,14907,111109,14907,555564
B090104-1,5,2009-06-07,2009-06-02,일반상환,0,-5.0,1.0,1.0,0.0,0,111109,12423,111109,12423,444455
B090104-1,6,2009-07-07,2009-07-02,일반상환,0,-5.0,1.0,1.0,0.0,0,111109,9934,111109,9934,333346
B090104-1,7,2009-08-07,2009-07-21,일반상환,0,-17.0,1.0,1.0,0.0,0,111109,7454,111109,7454,222237
B090104-1,8,2009-09-07,2009-07-27,일시상환,0,-42.0,1.0,1.0,0.0,0,111109,4971,222237,0,111128
B090117-1,1,2009-03-01,2009-03-02,일반상환,1,1.0,0.0,0.0,1.0,0,166668,45494,166668,45686,1833332
B090117-1,2,2009-04-01,2009-03-30,일반상환,0,-2.0,1.0,1.0,0.0,0,166668,41699,166668,41699,1666664
B090117-1,3,2009-05-01,2009-04-30,일반상환,0,-1.0,1.0,1.0,0.0,0,166668,37910,166668,37910,1499996
B090117-1,4,2009-06-01,2009-06-01,일반상환,0,0.0,1.0,0.0,0.0,0,166668,34123,166668,34123,1333328
B090117-1,5,2009-07-01,2009-07-01,일반상환,0,0.0,1.0,0.0,0.0,0,166668,30329,166668,30329,1166660
B090117-1,6,2009-08-01,2009-08-03,일반상환,2,2.0,0.0,0.0,1.0,0,166668,26545,166668,26900,999992
B090117-1,7,2009-09-01,2009-09-01,일반상환,0,0.0,1.0,0.0,0.0,0,166668,22746,166668,22746,833324
B090117-1,8,2009-10-01,2009-10-04,일반상환,3,3.0,0.0,0.0,1.0,0,166668,18950,166668,19458,666656
B090117-1,9,2009-11-01,2009-11-03,일반상환,2,2.0,0.0,0.0,1.0,0,166668,15167,166668,15499,499988
B090117-1,10,2009-12-01,2009-12-01,일반상환,0,0.0,1.0,0.0,0.0,0,166668,11375,166668,11375,333320
B090117-1,11,2010-01-01,2010-01-04,일반상환,3,3.0,0.0,0.0,1.0,0,166668,7583,166668,8052,166652
B090117-1,12,2010-02-01,2010-02-01,일반상환,0,0.0,1.0,0.0,0.0,0,166652,3795,166652,3795,0
B090124-1,1,2009-03-02,2009-03-02,일반상환,0,0.0,1.0,0.0,0.0,0,83333,21871,83333,21871,916667
B090124-1,2,2009-04-02,2009-05-02,일반상환,30,30.0,0.0,0.0,1.0,0,83333,20044,83333,22763,833334
B090124-1,3,2009-05-02,2009-06-01,일반상환,30,30.0,0.0,0.0,1.0,0,83333,18217,83333,20884,750001
B090124-1,4,2009-06-02,2009-07-02,일반상환,30,30.0,0.0,0.0,1.0,0,83333,16398,83333,19018,666668
B090124-1,5,2009-07-02,2009-09-01,손실,61,61.0,0.0,0.0,1.0,0,666668,27332,0,0,0
B090127-1,1,2009-03-02,2009-03-03,일반상환,1,1.0,0.0,0.0,1.0,0,83334,24270,83334,24372,916666
B090127-1,2,2009-04-02,2009-04-04,일반상환,2,2.0,0.0,0.0,1.0,0,83334,22247,83334,22445,833332
B090127-1,3,2009-05-02,2009-05-29,일반상환,27,27.0,0.0,0.0,1.0,0,83334,20224,83334,22909,749998
B090127-1,4,2009-06-02,2009-07-01,일반상환,29,29.0,0.0,0.0,1.0,0,83334,18200,83334,21021,666664
B090127-1,5,2009-07-02,2009-09-01,손실,61,61.0,0.0,0.0,1.0,0,666664,30344,0,0,0
B090128-1,1,2009-03-10,2009-03-06,일반상환,0,-4.0,1.0,1.0,0.0,0,83335,24408,83335,24408,916665
B090128-1,2,2009-04-10,2009-04-06,일반상환,0,-4.0,1.0,1.0,0.0,0,83335,22369,83335,22369,833330
B090128-1,3,2009-05-10,2009-05-08,일반상환,0,-2.0,1.0,1.0,0.0,0,83335,20336,83335,20336,749995
B090128-1,4,2009-06-10,2009-06-11,일반상환,1,1.0,0.0,0.0,1.0,0,83335,18299,83335,18392,666660
B090128-1,5,2009-07-10,2009-07-12,일반상환,2,2.0,0.0,0.0,1.0,0,83335,16269,83335,16464,583325
B090128-1,6,2009-08-10,2009-08-19,일반상환,9,9.0,0.0,0.0,1.0,0,83335,14231,83335,15077,499990
B090128-1,7,2009-09-10,2009-11-10,손실,61,61.0,0.0,0.0,1.0,0,499990,22370,0,0,0
B090201-1,1,2009-03-06,2009-03-19,일반상환,13,13.0,0.0,0.0,1.0,0,111109,23969,111109,25632,888891
B090201-1,2,2009-04-06,2009-04-10,일반상환,4,4.0,0.0,0.0,1.0,0,111109,21304,111109,21806,777782
B090201-1,3,2009-05-06,2009-05-08,일반상환,2,2.0,0.0,0.0,1.0,0,111109,18641,111109,18884,666673
B090201-1,4,2009-06-06,2009-06-10,일반상환,4,4.0,0.0,0.0,1.0,0,111109,15978,111109,16457,555564
B090201-1,5,2009-07-06,2009-08-10,일시상환,35,35.0,0.0,0.0,1.0,0,111109,13313,555564,30124,444455
B090214-1,1,2009-03-20,2009-03-20,일반상환,0,0.0,1.0,0.0,0.0,0,83337,22425,83337,22425,916663
B090214-1,2,2009-04-20,2009-04-19,일반상환,0,-1.0,1.0,1.0,0.0,0,83337,20554,83337,20554,833326
B090214-1,3,2009-05-20,2009-04-24,일시상환,0,-26.0,1.0,1.0,0.0,0,83337,18682,833326,2460,749989
B090217-1,1,2009-04-02,2009-04-01,일반상환,0,-1.0,1.0,1.0,0.0,0,166665,47996,166665,47996,1833335
B090217-1,2,2009-05-02,2009-05-02,일반상환,0,0.0,1.0,0.0,0.0,0,166665,43991,166665,43991,1666670
B090217-1,3,2009-06-02,2009-06-05,일반상환,3,3.0,0.0,0.0,1.0,0,166665,39997,166665,40579,1500005
B090217-1,4,2009-07-02,2009-07-03,일반상환,1,1.0,0.0,0.0,1.0,0,166665,35998,166665,36189,1333340
B090217-1,5,2009-08-02,2009-08-02,일반상환,0,0.0,1.0,0.0,0.0,0,166665,31991,166665,31991,1166675
B090217-1,6,2009-09-02,2009-09-02,일반상환,0,0.0,1.0,0.0,0.0,0,166665,27999,166665,27999,1000010
B090217-1,7,2009-10-02,2009-10-04,일반상환,2,2.0,0.0,0.0,1.0,0,166665,23998,166665,24365,833345
B090217-1,8,2009-11-02,2009-11-01,일반상환,0,-1.0,1.0,1.0,0.0,0,166665,19992,166665,19992,666680
B090217-1,9,2009-12-02,2009-12-01,일반상환,0,-1.0,1.0,1.0,0.0,0,166665,15996,166665,15996,500015
B090217-1,10,2010-01-02,2010-01-01,일반상환,0,-1.0,1.0,1.0,0.0,0,166665,11995,166665,11995,333350
B090217-1,11,2010-02-02,2010-02-03,일반상환,1,1.0,0.0,0.0,1.0,0,166665,8001,166665,8166,166685
B090217-1,12,2010-03-02,2010-02-27,일반상환,0,-3.0,1.0,1.0,0.0,0,166685,3994,166685,3994,0
B090222-1,1,2009-04-09,2009-04-10,일반상환,1,1.0,0.0,0.0,1.0,0,83332,22765,83332,22857,916668
B090222-1,2,2009-05-09,2009-05-22,일반상환,13,13.0,0.0,0.0,1.0,0,83332,20863,83332,22079,833336
B090222-1,3,2009-06-09,2009-06-10,일반상환,1,1.0,0.0,0.0,1.0,0,83332,18967,83332,19057,750004
B090222-1,4,2009-07-09,2009-08-06,일반상환,28,28.0,0.0,0.0,1.0,0,83332,17066,83332,19597,666672
B090222-1,5,2009-08-09,2009-09-08,일반상환,30,30.0,0.0,0.0,1.0,0,83332,15173,83332,17829,583340
B090222-1,6,2009-09-09,2009-10-09,일반상환,30,30.0,0.0,0.0,1.0,0,83332,13282,83332,15888,500008
B090222-1,7,2009-10-09,2009-11-06,일반상환,28,28.0,0.0,0.0,1.0,0,83332,11381,83332,13760,416676
B090222-1,8,2009-11-09,2009-12-08,일반상환,29,29.0,0.0,0.0,1.0,0,83332,9486,83332,11901,333344
B090222-1,9,2009-12-09,2010-01-08,일반상환,30,30.0,0.0,0.0,1.0,0,83332,7587,83332,10035,250012
B090222-1,10,2010-01-09,2010-02-08,일반상환,30,30.0,0.0,0.0,1.0,0,83332,5691,83332,8086,166680
B090222-1,11,2010-02-09,2010-03-08,일반상환,27,27.0,0.0,0.0,1.0,0,83332,3797,83332,5908,83348
B090222-1,12,2010-03-09,2010-04-09,일시상환,31,31.0,0.0,0.0,1.0,0,83348,1895,83348,4263,0
B090302-1,1,2009-04-11,2009-04-11,일반상환,0,0.0,1.0,0.0,0.0,0,166665,47434,166665,47434,1833335
B090302-1,2,2009-05-11,2009-05-08,일반상환,0,-3.0,1.0,1.0,0.0,0,166665,43475,166665,43475,1666670
B090302-1,3,2009-06-11,2009-06-12,일반상환,1,1.0,0.0,0.0,1.0,0,166665,39523,166665,39715,1500005
B090302-1,4,2009-07-11,2009-07-11,일반상환,0,0.0,1.0,0.0,0.0,0,166665,35573,166665,35573,1333340
B090302-1,5,2009-08-11,2009-08-12,일반상환,1,1.0,0.0,0.0,1.0,0,166665,31615,166665,31798,1166675
B090302-1,6,2009-09-11,2009-09-10,일반상환,0,-1.0,1.0,1.0,0.0,0,166665,27663,166665,27663,1000010
B090302-1,7,2009-10-11,2009-10-09,일반상환,0,-2.0,1.0,1.0,0.0,0,166665,23713,166665,23713,833345
B090302-1,8,2009-11-11,2009-11-11,일반상환,0,0.0,1.0,0.0,0.0,0,166665,19758,166665,19758,666680
B090302-1,9,2009-12-11,2009-12-10,일반상환,0,-1.0,1.0,1.0,0.0,0,166665,15811,166665,15811,500015
B090302-1,10,2010-01-11,2010-01-11,일반상환,0,0.0,1.0,0.0,0.0,0,166665,11857,166665,11857,333350
B090302-1,11,2010-02-11,2010-01-30,일시상환,0,-12.0,1.0,1.0,0.0,0,166665,7901,333350,4943,166685
B090311-1,1,2009-04-24,2009-04-21,일반상환,0,-3.0,1.0,1.0,0.0,0,83335,23943,83335,23943,916665
B090311-1,2,2009-05-24,2009-05-21,일반상환,0,-3.0,1.0,1.0,0.0,0,83335,21946,83335,21946,833330
B090311-1,3,2009-06-24,2009-06-19,일반상환,0,-5.0,1.0,1.0,0.0,0,83335,19950,83335,19950,749995
B090311-1,4,2009-07-24,2009-07-21,일반상환,0,-3.0,1.0,1.0,0.0,0,83335,17957,83335,17957,666660
B090311-1,5,2009-08-24,2009-08-21,일반상환,0,-3.0,1.0,1.0,0.0,0,83335,15964,83335,15964,583325
B090311-1,6,2009-09-24,2009-09-21,일반상환,0,-3.0,1.0,1.0,0.0,0,83335,13964,83335,13964,499990
B090311-1,7,2009-10-24,2009-10-22,일반상환,0,-2.0,1.0,1.0,0.0,0,83335,11967,83335,11967,416655
B090311-1,8,2009-11-24,2009-10-30,일시상환,0,-25.0,1.0,1.0,0.0,0,83335,9973,416655,1964,333320
B090331-1,1,2009-05-08,2009-04-24,일반상환,0,-14.0,1.0,1.0,0.0,0,166667,39060,166667,39060,1833333
B090331-1,2,2009-06-08,2009-05-31,일반상환,0,-8.0,1.0,1.0,0.0,0,166667,35807,166667,35807,1666666
B090331-1,3,2009-07-08,2009-07-06,일반상환,0,-2.0,1.0,1.0,0.0,0,166667,32552,166667,32552,1499999
B090331-1,4,2009-08-08,2009-07-24,일반상환,0,-15.0,1.0,1.0,0.0,0,166667,29296,166667,29296,1333332
B090331-1,5,2009-09-08,2009-08-31,일반상환,0,-8.0,1.0,1.0,0.0,0,166667,26041,166667,26041,1166665
B090331-1,6,2009-10-08,2009-09-25,일반상환,0,-13.0,1.0,1.0,0.0,0,166667,22784,166667,22784,999998
B090331-1,7,2009-11-08,2009-10-23,일반상환,0,-16.0,1.0,1.0,0.0,0,166667,19533,166667,19533,833331
B090331-1,8,2009-12-08,2009-11-25,일반상환,0,-13.0,1.0,1.0,0.0,0,166667,16277,166667,16277,666664
